Training History
============================================================

Iteration	Loss		Accuracy
------------------------------------------------------------
0		0.375910	0.904167
10		0.314738	0.925574
20		0.310435	0.928148
30		0.310074	0.927500
40		0.310129	0.927963
50		0.308669	0.928759
60		0.310714	0.927296
70		0.308259	0.929037
80		0.310148	0.927722
90		0.308867	0.928278
100		0.308886	0.928426
110		0.315461	0.926315
120		0.308518	0.929778
130		0.309915	0.927926
140		0.308950	0.928463
150		0.308140	0.928889
160		0.309520	0.928481
170		0.308197	0.929111
180		0.311139	0.926926
190		0.309604	0.928241
200		0.308332	0.928481
210		0.311465	0.927889
220		0.306383	0.929537
230		0.307765	0.928296
240		0.309587	0.928222
250		0.308709	0.929093
260		0.308710	0.929333
270		0.306769	0.928907
280		0.307069	0.929815
290		0.307583	0.929185
300		0.309536	0.927852
310		0.306879	0.928981
320		0.307517	0.928907
330		0.310826	0.928000
340		0.309401	0.928889
350		0.307907	0.928111
360		0.307970	0.929426
370		0.307287	0.929000
380		0.307361	0.929907
390		0.309081	0.928056
400		0.307879	0.929370
410		0.307208	0.928815
420		0.307786	0.928759
430		0.307207	0.928648
440		0.307297	0.928889
450		0.308905	0.928667
460		0.309871	0.928167
470		0.308784	0.928333
480		0.307416	0.928333
490		0.308564	0.928815
500		0.308076	0.929019
